Freq._use,F_APS
1.00,6.00
5.00,20.00
5.00,5.00
4.00,14.00
4.00,17.00
5.00,10.00
5.00,8.00
5.00,6.00
5.00,14.00
5.00,6.00
5.00,11.00
5.00,20.00
5.00,14.00
5.00,20.00
4.00,17.00
5.00,15.00
5.00,9.00
5.00,7.00
5.00,8.00
5.00,4.00
5.00,10.00
5.00,20.00
5.00,14.00
4.00,5.00
5.00,18.00
5.00,4.00
5.00,20.00
5.00,12.00
5.00,11.00
2.00,11.00
5.00,20.00
1.00,12.00
5.00,9.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Freq._use,F_APS
4.00,14.00
5.00,14.00
2.00,5.00
5.00,9.00
5.00,17.00
5.00,17.00
5.00,11.00
1.00,6.00
5.00,20.00
5.00,5.00
4.00,14.00
4.00,17.00
5.00,10.00
5.00,8.00
5.00,6.00
5.00,14.00
5.00,6.00
5.00,11.00
5.00,20.00
5.00,14.00
5.00,20.00
4.00,17.00
5.00,15.00
5.00,9.00
5.00,7.00
5.00,8.00
5.00,4.00
5.00,10.00
5.00,20.00
5.00,14.00
4.00,5.00
5.00,18.00
5.00,4.00
5.00,20.00
5.00,12.00
5.00,11.00
2.00,11.00
5.00,20.00
1.00,12.00
5.00,9.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Freq._use,F_APS
4.00,14.00
5.00,14.00
2.00,5.00
5.00,9.00
5.00,17.00
5.00,17.00
5.00,11.00
1.00,6.00
5.00,20.00
5.00,5.00
4.00,14.00
4.00,17.00
5.00,10.00
5.00,8.00
5.00,6.00
5.00,14.00
5.00,6.00
5.00,11.00
5.00,20.00
5.00,14.00
5.00,20.00
4.00,17.00
5.00,15.00
5.00,9.00
5.00,7.00
5.00,8.00
5.00,4.00
5.00,10.00
5.00,20.00
5.00,14.00
4.00,5.00
5.00,18.00
5.00,4.00
5.00,20.00
5.00,12.00
5.00,11.00
2.00,11.00
5.00,20.00
1.00,12.00
5.00,9.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Freq._use,F_APS
4.00,14.00
5.00,14.00
2.00,5.00
5.00,9.00
5.00,17.00
5.00,17.00
5.00,11.00
1.00,6.00
5.00,20.00
5.00,5.00
4.00,14.00
4.00,17.00
5.00,10.00
5.00,8.00
5.00,6.00
5.00,14.00
5.00,6.00
5.00,11.00
5.00,20.00
5.00,14.00
5.00,20.00
4.00,17.00
5.00,15.00
5.00,9.00
5.00,7.00
5.00,8.00
5.00,4.00
5.00,10.00
5.00,20.00
5.00,14.00
4.00,5.00
5.00,18.00
5.00,4.00
5.00,20.00
5.00,12.00
5.00,11.00
2.00,11.00
5.00,20.00
1.00,12.00
5.00,9.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Freq._use,F_APS
4.00,14.00
5.00,14.00
2.00,5.00
5.00,9.00
5.00,17.00
5.00,17.00
5.00,11.00
1.00,6.00
5.00,20.00
5.00,5.00
4.00,14.00
4.00,17.00
5.00,10.00
5.00,8.00
5.00,6.00
5.00,14.00
5.00,6.00
5.00,11.00
5.00,20.00
5.00,14.00
5.00,20.00
4.00,17.00
5.00,15.00
5.00,9.00
5.00,7.00
5.00,8.00
5.00,4.00
5.00,10.00
5.00,20.00
5.00,14.00
4.00,5.00
5.00,18.00
5.00,4.00
5.00,20.00
5.00,12.00
5.00,11.00
2.00,11.00
5.00,20.00
1.00,12.00
5.00,9.00
